SKU,pick_count,total_quantity_picked,movement_frequency
CM-1133,5152,145520,5152
CM-114778,921,14958,921
CM-114785,326,3152,326
CM-116925,1592,11692,1592
CM-117014,2762,43133,2762
CM-117021,666,4705,666
CM-117588,1761,13274,1761
CM-117809,500,3168,500
CM-117823,821,5382,821
CM-117830,1633,26565,1633
CM-117847,2453,34871,2453
CM-117861,1074,14961,1074
CM-117878,1563,19903,1563
CM-117908,1673,27352,1673
CM-117915,942,14729,942
CM-117922,1970,28728,1970
CM-117939,700,4535,700
CM-117946,1285,19183,1285
CM-117953,1897,29092,1897
CM-117960,777,5560,777
CM-119445,5,66,5
CM-1257,939,15120,939
CM-1331,4832,119852,4832
CM-1539,4247,104272,4247
CM-1677,2408,42562,2408
CM-1684,112,1141,112
CM-1714,412,3527,412
CM-1721,1300,21353,1300
CM-1737,4934,116876,4934
CM-1745,421,5132,421
CM-1967,592,6678,592
CM-1974,238,3034,238
CM-1981,182,1566,182
CM-1998,774,11658,774
CM-2802,2051,46988,2051
CM-3168,744,11691,744
CM-3212,10,306,10
CM-3967,40,534,40
CM-4082,760,9251,760
CM-4099,224,2854,224
CM-4204,1811,34130,1811
CM-4310,1258,31103,1258
CM-4693,586,10516,586
CM-4790,428,6499,428
CM-4808,2030,34945,2030
CM-4884,1296,31659,1296
